window_s,sigma_mult,max_hold_s,source,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor
3,6.0,3600,random,535,0.011214953271028037,-0.7592638429223045,-0.40240181172999856,-406.20615596343293,4.735780712929099,-2.2409982088810043,1.2451460237845484,0.46535876800386516,3600.0,0.32149532710280376,0.009345794392523364,0.007476635514018692,0.003738317757009346,0.0,0.0,0.03905057879362897
3,6.0,3600,signal,107,0.0,-1.7060166146132598,-1.7027396673681794,-182.5437777636188,-1.211535784602643,-2.6236037441714863,1.8009371405783474,0.781769584881865,67.0,0.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,14400,random,535,0.005607476635514018,-1.4622004272440354,-1.3828426906217435,-782.277228575559,2.060422378417966,-2.242133850040695,4.372418660308849,0.46535876800386516,5102.0,0.9813084112149533,0.003738317757009346,0.001869158878504673,0.0,0.0,0.0,0.004366209682661986
3,6.0,14400,signal,107,0.0,-1.8093810574958262,-1.7242807831895777,-193.6037731520534,-1.6818020624925258,-3.692066301786888,2.6967874896422748,0.781769584881865,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,86400,random,535,0.0,-1.4767510698074293,-1.382889514266089,-790.0618223469747,-0.32799775584596547,-2.242133850040695,5.878901831583794,0.46535876800386516,5102.0,0.9869158878504672,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,86400,signal,107,0.0,-1.8093810574958262,-1.7242807831895777,-193.6037731520534,-1.6818020624925258,-3.692066301786888,3.426832031727296,0.781769584881865,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,900,random,675,0.0044444444444444444,-0.5525535929548666,-0.2268458749199939,-372.97367524453495,3.083136780348225,-2.3595743489160186,0.26639035997488864,0.48601062266585326,900.0,0.07703703703703704,0.0044444444444444444,0.002962962962962963,0.0014814814814814814,0.0,0.0,0.019981393905712026
5,4.0,900,signal,135,0.0,-1.404741454422574,-1.4280132278348299,-189.6400963470475,-0.9398654714859568,-2.590560273231702,1.1422765880047199,0.6647603985244829,80.0,0.725925925925926,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,3600,random,675,0.008888888888888889,-0.8227257189793638,-1.0287879192098475,-555.3398603110705,3.08661755848772,-2.3595743489160186,1.3400471153777127,0.48601062266585326,3600.0,0.34814814814814815,0.005925925925925926,0.002962962962962963,0.0014814814814814814,0.0,0.0,0.01840165914428794
5,4.0,3600,signal,135,0.0,-1.5024582898716172,-1.4297242209583019,-202.83186913266832,-0.8907138482451142,-2.6236037441714863,1.9480187151838797,0.6647603985244829,80.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,14400,random,675,0.0044444444444444444,-1.4918604081705527,-1.2315401342710595,-1007.005775515123,1.548222984397014,-2.3595743489160186,4.872540613268891,0.48601062266585326,5102.0,0.9851851851851852,0.002962962962962963,0.0,0.0,0.0,0.0,0.0028415881627965674
5,4.0,14400,signal,135,0.0,-1.6953380032017222,-1.4327184362131455,-228.8706304322325,-1.4183548672611797,-3.692066301786888,4.139870845078353,0.6647603985244829,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,86400,random,675,0.0,-1.4992825219722061,-1.2316092562760133,-1012.0157023312391,-0.20383906465156115,-2.3595743489160186,6.312846835322916,0.48601062266585326,5102.0,0.9866666666666667,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,86400,signal,135,0.0,-1.6953380032017222,-1.4327184362131455,-228.8706304322325,-1.4183548672611797,-3.692066301786888,5.244301870986257,0.6647603985244829,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,900,random,535,0.007476635514018692,-0.3864662939435278,-0.22232520930336092,-206.75946725978739,3.229422888913173,-2.356758467494366,0.18476397327770655,0.32494412795172456,900.0,0.07663551401869159,0.005607476635514018,0.003738317757009346,0.001869158878504673,0.0,0.0,0.038017683408284084
5,6.0,900,signal,107,0.0,-1.4614707497746677,-1.4297242209583019,-156.37737022588945,-1.2092705472756349,-2.590560273231702,1.1979643657446086,0.5444177645372661,80.0,0.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,3600,random,535,0.011214953271028037,-0.6590241786061608,-0.24201671754697468,-352.577935554296,3.2391537920415487,-2.356758467494366,0.907221777899507,0.32494412795172456,3600.0,0.34953271028037386,0.007476635514018692,0.003738317757009346,0.001869158878504673,0.0,0.0,0.02758451667549035
5,6.0,3600,signal,107,0.0,-1.4625829950214992,-1.4297242209583019,-156.4963804673004,-1.1261582545953408,-2.6236037441714863,1.201307188702292,0.5444177645372661,80.0,0.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,14400,random,535,0.005607476635514018,-1.3208329280692792,-1.2296110680568415,-706.6456165170644,1.6687288402925486,-2.356758467494366,3.1237079322435877,0.32494412795172456,5137.0,0.9850467289719627,0.001869158878504673,0.0,0.0,0.0,0.0,0.00368642481916706
5,6.0,14400,signal,107,0.0,-1.5676810944967285,-1.430404152010572,-167.74187711114996,-1.4183548672611797,-3.692066301786888,2.1563690310818635,0.5444177645372661,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,86400,random,535,0.0,-1.328963021490656,-1.229611744389985,-710.995216497501,-0.11790868910527987,-2.356758467494366,4.15519038952716,0.32494412795172456,5137.0,0.9869158878504672,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,86400,signal,107,0.0,-1.5676810944967285,-1.430404152010572,-167.74187711114996,-1.4183548672611797,-3.692066301786888,2.5843980137417257,0.5444177645372661,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,900,random,655,0.00916030534351145,-0.43536680496582,-0.12765145956110377,-285.1652572526121,14.934510242387592,-2.3548277688524055,0.32229137453257406,0.39043226316167157,900.0,0.061068702290076333,0.004580152671755725,0.0015267175572519084,0.0015267175572519084,0.0015267175572519084,0.0015267175572519084,0.05900977331802384
10,4.0,900,signal,131,0.0,-1.2720069333320856,-1.238585248550009,-166.63290826650322,-1.0298450998357083,-2.7227263647585063,0.7290491192283579,0.5149284138261824,106.0,0.7480916030534351,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,3600,random,655,0.007633587786259542,-0.7103568348893105,-1.017393472399329,-465.2837268524984,14.990171536940455,-2.3548277688524055,1.1388974846564792,0.39043226316167157,3600.0,0.23053435114503817,0.0061068702290076335,0.0030534351145038168,0.0015267175572519084,0.0015267175572519084,0.0015267175572519084,0.041038872366712595
10,4.0,3600,signal,131,0.0,-1.3474121986935539,-1.240641501001904,-176.51099802885557,-0.9894336179485987,-2.7667943410581137,1.3572090993144375,0.5149284138261824,106.0,0.816793893129771,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,14400,random,655,0.004580152671755725,-1.364508742404548,-1.1296802898150267,-893.7532262749788,6.959244477894444,-2.3548277688524055,3.7636475919929624,0.39043226316167157,8151.0,0.7847328244274809,0.0015267175572519084,0.0015267175572519084,0.0015267175572519084,0.0015267175572519084,0.0,0.008238625017329757
10,4.0,14400,signal,131,0.0,-1.5371111051384525,-1.2431185016377466,-201.36155477313727,-1.1754508992033894,-3.689197331233378,3.3293204617908088,0.5149284138261824,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,86400,random,655,0.0,-1.4015627421414336,-1.1297219545511992,-918.023596102639,-0.10875513360940482,-2.3572845566711713,4.877945777793241,0.39043226316167157,8151.0,0.9923664122137404,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,86400,signal,131,0.0,-1.5371111051384525,-1.2431185016377466,-201.36155477313727,-1.1754508992033894,-3.689197331233378,4.384582042747202,0.5149284138261824,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0,900,random,535,0.011214953271028037,-0.2943556414170438,-0.12619192112035896,-157.48026815811843,1.0413441612020697,-2.2271604316036604,0.12632597190278305,0.23012597411696142,900.0,0.04299065420560748,0.001869158878504673,0.0,0.0,0.0,0.0,0.01969309695912122
10,6.0,900,signal,107,0.0,-1.282209246162696,-1.240461196920704,-137.19638933940846,-1.1080308410433928,-2.7227263647585063,0.6282002309614386,0.37558197834341345,106.0,0.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0,3600,random,535,0.007476635514018692,-0.5751460789620445,-0.14075438346620886,-307.7031522446938,1.0493853683235104,-2.242890198796082,0.5978700154099127,0.23012597411696142,3600.0,0.19813084112149532,0.001869158878504673,0.0,0.0,0.0,0.0,0.007070368355114777
10,6.0,3600,signal,107,0.0,-1.2824613593489578,-1.2403627884770985,-137.2233654503385,-1.0179457995033225,-2.7667943410581137,0.6316621404946344,0.37558197834341345,106.0,0.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0,14400,random,535,0.001869158878504673,-1.2051248818937896,-1.1296297367310124,-644.7418118131775,0.15385133372881588,-2.246286307159474,2.1652285152431365,0.23012597411696142,9231.0,0.7364485981308411,0.0,0.0,0.0,0.0,0.0,0.00023856779091685216
10,6.0,14400,signal,107,0.0,-1.3886076442588935,-1.2412812710311367,-148.5810179357016,-1.1754508992033894,-3.689197331233378,1.5873957544235167,0.37558197834341345,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0,86400,random,535,0.0,-1.2329380379797281,-1.1296735569919996,-659.6218503191545,-0.13366770137622744,-2.246286307159474,2.8613324331814973,0.23012597411696142,9231.0,0.9906542056074766,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0,86400,signal,107,0.0,-1.3886076442588935,-1.2412812710311367,-148.5810179357016,-1.1754508992033894,-3.689197331233378,1.9935430737947146,0.37558197834341345,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
