calm_window,calm_percentile,sigma,tick,ofi,impact,fold,n,n_wins,sum_net,sum_sq,net_mean_pct,win_rate,sd_net_pct,t_stat
7200,15.0,4.0,5.0,0.4,3.0,3,37,37,62.62660706840436,109.11347212614635,1.6926110018487666,1.0,0.293966551087846,35.0235451697344
3600,40.0,4.0,5.0,0.8,2.0,7,48,47,65.91286888971233,101.69005120642585,1.3731847685356735,0.9791666666666666,0.48771075306038103,19.50685542493285
1800,25.0,3.0,5.0,0.4,2.0,5,54,54,98.86702972339118,193.40987306927246,1.8308709208035405,1.0,0.4836399589140868,27.81841817374475
1800,25.0,5.0,5.0,0.4,3.0,3,61,60,104.95031192611253,192.91553929396258,1.720496916821517,0.9836065573770492,0.45366748479529717,29.619734579538786
7200,25.0,3.0,5.0,0.8,5.0,0,27,27,42.57573595598959,73.365653715291,1.576879109481096,1.0,0.48946065747089434,16.740271316970784
1800,25.0,3.0,5.0,0.4,5.0,6,56,56,101.61021791015106,193.627024336736,1.8144681769669833,1.0,0.4102885344837725,33.09436012369621
7200,15.0,5.0,5.0,0.6,3.0,5,31,30,45.77189100175226,77.75046834580859,1.4765126129597503,0.967741935483871,0.5821710505427785,14.121063388572352
7200,15.0,5.0,5.0,0.6,2.0,3,36,36,55.7539637082107,89.78313815167573,1.5487212141169637,1.0,0.3133137079515641,29.658221293459352
7200,25.0,3.0,20.0,0.8,3.0,5,2,2,1.696520784790428,1.9370610498904004,0.848260392395214,1.0,0.7056696559137536,1.6999758191329286
1800,40.0,6.0,5.0,0.4,2.0,6,74,74,126.12796057354493,226.1953191788765,1.704431899642499,1.0,0.3920231985810105,37.4010457782086
3600,25.0,3.0,10.0,0.8,2.0,3,42,42,62.454700955203435,94.95640036051452,1.4870166894096055,1.0,0.22551933063221918,42.73234383612413
1800,40.0,6.0,10.0,0.8,3.0,7,38,36,49.218904824573336,85.03189923521072,1.295234337488772,0.9473684210526315,0.7584102087070841,10.527760037346463
1800,40.0,6.0,5.0,0.8,3.0,2,54,54,78.60564361670832,122.29622895582473,1.45566006697608,1.0,0.3854214185632967,27.753707225158347
1800,40.0,6.0,10.0,0.4,2.0,0,48,48,75.37346446310458,125.08442889533822,1.5702805096480121,1.0,0.37832066507519374,28.756617080961497
3600,40.0,3.0,10.0,0.8,2.0,0,48,48,71.55601342378833,112.97073453200431,1.490750279662257,1.0,0.36607717791603883,28.213233509626164
3600,40.0,4.0,20.0,0.4,3.0,7,2,2,1.7401428135423829,1.5325868593875758,0.8700714067711914,1.0,0.13615562282173865,9.037208733566898
3600,40.0,5.0,5.0,0.6,5.0,8,73,73,121.42303807294256,208.46969604576452,1.663329288670446,1.0,0.3005365687606016,47.28706303763348
7200,25.0,4.0,10.0,0.4,5.0,7,29,29,42.53232807708721,65.15175518868426,1.4666320026581796,1.0,0.31466999058373674,25.099486071361728
7200,15.0,3.0,5.0,0.8,3.0,8,31,31,42.292859250874095,60.143368606456804,1.364285782286261,1.0,0.28541326985357596,26.61411560585837
7200,15.0,3.0,10.0,0.4,5.0,4,23,23,34.23529630617552,57.537356487893824,1.4884911437467618,1.0,0.5468264280291794,13.054513065655273
1800,40.0,5.0,10.0,0.8,2.0,4,44,44,66.07469511984429,106.81502273628008,1.5016976163600975,1.0,0.42015530276785445,23.708221741946648
7200,25.0,5.0,5.0,0.8,3.0,3,47,47,65.75662836724366,96.40348742900974,1.3990771993030566,1.0,0.30944859716973444,30.99574574079314
7200,40.0,3.0,20.0,0.8,2.0,8,4,4,5.113369108191007,7.719283818490542,1.2783422770477517,1.0,0.6278662037249706,4.072021298371124
3600,25.0,6.0,20.0,0.6,2.0,4,2,2,3.2896216951978827,6.665779729166359,1.6448108475989414,1.0,1.120256345845924,2.076412079108842
7200,15.0,4.0,5.0,0.4,3.0,7,16,16,27.800632666854764,49.53194973945059,1.7375395416784227,1.0,0.28603626776029345,24.29817107157237
3600,15.0,3.0,10.0,0.6,2.0,4,20,20,31.421572129973825,55.83627695740971,1.5710786064986912,1.0,0.583569650443324,12.03982612686573
3600,40.0,6.0,10.0,0.4,2.0,2,46,46,72.37762974858732,120.29317492392576,1.573426733664942,1.0,0.37748516845611796,28.269983044981903
1800,40.0,6.0,5.0,0.8,2.0,6,61,61,90.61704379592148,144.960005490674,1.4855253081298603,1.0,0.4152528062100789,27.940385670753756
7200,40.0,4.0,5.0,0.4,5.0,4,63,63,109.9478577211666,203.84759996669646,1.7452040908121682,1.0,0.43932038598642653,31.530810943184242
7200,15.0,4.0,5.0,0.8,5.0,4,20,20,30.449067853971776,53.883121955068574,1.5224533926985888,1.0,0.6293620536233793,10.818285783357451
3600,40.0,5.0,10.0,0.8,5.0,0,48,48,71.55601342378833,112.97073453200431,1.490750279662257,1.0,0.36607717791603883,28.213233509626164
1800,15.0,3.0,5.0,0.8,5.0,0,19,19,30.50820130647497,54.89173958183858,1.6056948056039457,1.0,0.5727554847553581,12.219981437253818
1800,15.0,3.0,10.0,0.8,5.0,1,26,26,37.35526113658716,54.98218147821645,1.43674081294566,1.0,0.22911597282064677,31.97493981320931
1800,25.0,3.0,10.0,0.4,5.0,6,42,42,63.80727206768701,104.01798010470098,1.5192207635163573,1.0,0.4155703549408902,23.691959050801753
7200,15.0,6.0,5.0,0.8,5.0,5,25,24,34.19190772585966,54.51648018696876,1.3676763090343862,0.96,0.5683682062720108,12.031604635357109
7200,25.0,6.0,5.0,0.8,5.0,3,47,47,65.30021211678265,94.83758961564399,1.3893662152506947,1.0,0.2989721905012061,31.85920024620747
1800,15.0,3.0,10.0,0.8,2.0,2,20,20,29.610245799534987,44.9405547651329,1.4805122899767493,1.0,0.24085614287905419,27.489654881455703
1800,40.0,4.0,5.0,0.6,2.0,1,77,76,122.09971813013792,206.69677011764094,1.585710625066726,0.987012987012987,0.41488663259771913,33.53820820050764
3600,25.0,5.0,20.0,0.6,2.0,5,1,0,-1.12818818842534,1.2728085885024505,-1.12818818842534,0.0,0.0,
1800,25.0,3.0,5.0,0.4,3.0,0,42,42,79.33951416452389,156.83541941744974,1.8890360515362832,1.0,0.4120210996636714,29.71292691064653
1800,15.0,5.0,10.0,0.4,2.0,7,14,13,18.79650560564971,32.52169178032996,1.3426075432606936,0.9285714285714286,0.7486069918518272,6.710567075192522
3600,25.0,5.0,10.0,0.4,5.0,8,43,43,64.78085336927191,100.82894924758664,1.5065314737039979,1.0,0.2775125373990989,35.59834671372991
3600,25.0,6.0,10.0,0.6,5.0,2,29,29,43.949627882091086,68.12192556207276,1.5155044097272787,1.0,0.23269160314603143,35.07320806586519
3600,25.0,6.0,5.0,0.8,3.0,6,40,40,59.416058719206326,96.30574389277972,1.4854014679801582,1.0,0.45429695048772395,20.67921377650498
7200,15.0,6.0,5.0,0.8,5.0,6,27,27,41.9478865918986,71.51618011126534,1.553625429329578,1.0,0.49399769523981324,16.34192753605967
3600,15.0,5.0,5.0,0.8,3.0,5,21,21,32.55247241140495,52.836551721394876,1.550117733876426,1.0,0.34470182440429264,20.60775820916622
3600,25.0,5.0,10.0,0.4,3.0,2,29,29,44.84705751349632,70.92646573823312,1.5464502590860798,1.0,0.23699924858518712,35.138885717694635
3600,15.0,3.0,5.0,0.6,3.0,1,21,21,36.04200499383064,63.50281558345086,1.7162859520871732,1.0,0.2867428052701236,27.428797323160936
3600,15.0,4.0,5.0,0.4,2.0,6,24,24,46.34206189103347,95.02173302898514,1.9309192454597277,1.0,0.4907383013424462,19.27612690086612
1800,40.0,4.0,5.0,0.6,3.0,6,75,75,125.52170267587825,221.86595841960556,1.6736227023450432,1.0,0.39915429490177023,36.31176703078842
3600,25.0,4.0,20.0,0.4,5.0,2,1,1,1.3768817616902083,1.8958033856751315,1.3768817616902083,1.0,0.0,
3600,40.0,3.0,10.0,0.4,3.0,4,66,66,100.3953534935334,162.82937145883167,1.521141719598991,1.0,0.3944579690182411,31.32859447528292
1800,25.0,3.0,5.0,0.8,5.0,5,45,45,67.600633949509,111.95736740542887,1.502236309989089,1.0,0.4862949093118508,20.722625981161116
3600,40.0,5.0,5.0,0.8,3.0,1,64,63,89.83200070170989,137.60793002666392,1.403625010964217,0.984375,0.4275713447714476,26.262284002488624
3600,15.0,4.0,10.0,0.8,3.0,4,16,16,25.554225987418576,46.52200774016039,1.597139124213661,1.0,0.616892947312401,10.356021291356104
1800,40.0,5.0,10.0,0.8,5.0,8,45,44,62.34862654847272,95.77877806825293,1.385525034410505,0.9777777777777777,0.46204080703864375,20.115938555253017
7200,40.0,3.0,20.0,0.4,3.0,1,4,4,5.652439373203717,9.553745926573216,1.4131098433009293,1.0,0.7225483166398651,3.9114611736207423
1800,15.0,3.0,5.0,0.6,2.0,4,33,33,57.00744163760476,108.14219130402523,1.7274982314425684,1.0,0.5494865983351409,18.059988801133315
1800,40.0,5.0,10.0,0.6,2.0,6,56,56,83.93117576815766,133.92438118823307,1.4987709958599582,1.0,0.384489491486479,29.170563523394275
3600,15.0,5.0,10.0,0.8,2.0,6,17,17,27.389005853252634,49.0422789906831,1.611117991367802,1.0,0.554265217136038,11.984893600335754
7200,25.0,5.0,10.0,0.8,5.0,7,23,23,33.03029366847022,48.81400204271685,1.4360997247160967,1.0,0.2503821078176798,27.507126569240643
1800,25.0,5.0,5.0,0.4,3.0,2,43,43,77.69605507861742,152.20205627100395,1.806885001828312,1.0,0.5303686868635118,22.340190161003296
1800,25.0,5.0,20.0,0.6,2.0,3,1,1,1.7859351689322631,3.189564427629111,1.7859351689322631,1.0,0.0,
1800,15.0,4.0,10.0,0.8,5.0,8,24,24,34.98809026325422,52.791996297187936,1.4578370943022592,1.0,0.27858809024609626,25.636106740871377
3600,15.0,4.0,20.0,0.6,5.0,4,1,1,2.4369517064138564,5.938733619393407,2.4369517064138564,1.0,0.0,
3600,15.0,6.0,5.0,0.6,2.0,1,21,21,35.84399456335519,62.765118593859164,1.7068568839692948,1.0,0.2814737753715588,27.788737550845013
3600,25.0,6.0,10.0,0.8,3.0,7,27,27,37.737882188153606,54.58991973580272,1.3976993403019853,1.0,0.26629268867071115,27.27321898914915
1800,40.0,5.0,20.0,0.6,3.0,4,1,1,2.4369517064138564,5.938733619393407,2.4369517064138564,1.0,0.0,
7200,15.0,4.0,5.0,0.6,2.0,0,16,16,26.27608619332731,44.58757237146166,1.6422553870829568,1.0,0.3093572119749581,21.23442187235505
7200,25.0,5.0,5.0,0.4,3.0,6,41,41,75.49876561866276,146.09863611311425,1.8414333077722624,1.0,0.4204965638152511,28.040481799972962
3600,40.0,6.0,5.0,0.4,2.0,2,57,57,100.32982486908969,189.65028575165076,1.7601723661243804,1.0,0.4827839748897691,27.52578924106177
3600,25.0,6.0,20.0,0.6,3.0,5,1,0,-1.12818818842534,1.2728085885024505,-1.12818818842534,0.0,0.0,
7200,40.0,6.0,20.0,0.8,2.0,2,1,1,3.055541984034897,9.336336816199914,3.055541984034897,1.0,0.0,
3600,25.0,5.0,5.0,0.8,3.0,0,25,25,39.97896587401314,70.07425627422224,1.5991586349605256,1.0,0.5058634441889902,15.806228472629869
3600,25.0,5.0,5.0,0.6,3.0,6,46,46,78.99638781457249,143.65182443844154,1.7173127785776627,1.0,0.42138180583513124,27.640922762357164
3600,40.0,5.0,20.0,0.8,5.0,5,2,2,4.964346868377996,14.898498687201315,2.482173434188998,1.0,1.6050323275292953,2.187073291038253
1800,40.0,3.0,20.0,0.8,2.0,6,1,1,2.210490872154681,4.886269895879162,2.210490872154681,1.0,0.0,
7200,25.0,5.0,10.0,0.8,3.0,4,30,30,45.64710622274153,76.07078060589951,1.5215702074247175,1.0,0.477619951433924,17.44898476146737
1800,25.0,4.0,10.0,0.4,5.0,7,33,32,47.54429215011908,78.4055064124676,1.4407361257611841,0.9696969696969697,0.5564038309213675,14.874805800420985
7200,15.0,4.0,10.0,0.4,5.0,4,23,23,34.23529630617552,57.537356487893824,1.4884911437467618,1.0,0.5468264280291794,13.054513065655273
7200,25.0,6.0,5.0,0.4,5.0,6,41,41,74.08149009826118,141.3347865750051,1.8068656121527118,1.0,0.43242021285508125,26.755421349455585
7200,25.0,3.0,10.0,0.4,5.0,2,22,22,35.90592179354659,63.369368442599026,1.6320873542521177,1.0,0.47648352495308766,16.065966286129935
1800,25.0,6.0,10.0,0.6,2.0,1,47,46,65.87401656513582,102.28473454309224,1.4015748205348046,0.9787234042553191,0.46525756302768717,20.652459260794203
1800,40.0,3.0,5.0,0.8,2.0,3,68,67,94.88071211995805,145.14941247275212,1.395304589999383,0.9852941176470589,0.4364360299052672,26.36348885185003
3600,15.0,6.0,20.0,0.6,5.0,4,1,1,2.4369517064138564,5.938733619393407,2.4369517064138564,1.0,0.0,
7200,15.0,4.0,20.0,0.6,2.0,5,1,1,0.33775000102106334,0.11407506318972829,0.33775000102106334,1.0,0.0,
3600,40.0,3.0,10.0,0.8,5.0,0,48,48,71.55601342378833,112.97073453200431,1.490750279662257,1.0,0.36607717791603883,28.213233509626164
3600,40.0,3.0,5.0,0.6,2.0,8,73,73,124.28551117084402,218.87601876281028,1.7025412489156715,1.0,0.3178663536395368,45.763002723430624
3600,15.0,4.0,10.0,0.6,5.0,8,23,23,34.678534876432586,53.84738267235787,1.5077623859318516,1.0,0.2663210798374204,27.15134072200152
7200,40.0,5.0,5.0,0.8,5.0,0,47,47,70.61047364577912,113.5004395816616,1.5023505031016835,1.0,0.40159353709498335,25.646817457542546
3600,15.0,3.0,5.0,0.4,3.0,1,21,21,38.6333855816057,72.1992659807575,1.8396850276955097,1.0,0.23727673264459775,35.530225826731716
3600,25.0,6.0,20.0,0.6,5.0,2,1,1,1.3768817616902083,1.8958033856751315,1.3768817616902083,1.0,0.0,
1800,40.0,4.0,10.0,0.4,3.0,3,62,61,92.46103737527908,153.17278618752403,1.4913070544399851,0.9838709677419355,0.5005732597164319,23.458231660000795
1800,15.0,5.0,10.0,0.8,5.0,5,24,24,36.8371496744005,64.1381442329413,1.5348812364333542,1.0,0.5747398047970295,13.083053631065628
3600,25.0,4.0,5.0,0.6,3.0,2,32,32,54.45939404026264,95.67241360907616,1.7018560637582074,1.0,0.3105854842098363,30.99678573448958
3600,40.0,5.0,5.0,0.4,3.0,2,57,57,101.77630637496124,194.69336386825105,1.7855492346484427,1.0,0.4811956447057828,28.01480280616958
1800,15.0,5.0,10.0,0.6,2.0,7,14,13,18.79650560564971,32.52169178032996,1.3426075432606936,0.9285714285714286,0.7486069918518272,6.710567075192522
3600,25.0,3.0,20.0,0.4,3.0,2,1,1,1.3768817616902083,1.8958033856751315,1.3768817616902083,1.0,0.0,
7200,40.0,5.0,10.0,0.6,3.0,0,44,44,68.50168220784848,113.40478583280704,1.556856413814738,1.0,0.39642303368706544,26.050497263273634
1800,15.0,5.0,10.0,0.4,5.0,4,26,26,39.59934948029941,67.11781694323872,1.5230519030884389,1.0,0.5217644049263817,14.884249099281371
1800,40.0,5.0,5.0,0.6,5.0,2,62,62,101.4712118727347,182.104847685579,1.6366324495602371,1.0,0.5126877047459737,25.135880333010366
1800,15.0,3.0,5.0,0.4,3.0,1,34,34,62.740401396463064,117.94618985857468,1.8453059234253841,1.0,0.25648885164473517,41.95071248426078
7200,25.0,5.0,20.0,0.8,3.0,2,1,1,3.055541984034897,9.336336816199914,3.055541984034897,1.0,0.0,
3600,15.0,3.0,5.0,0.6,5.0,2,20,20,33.7823727755016,59.41785578377263,1.68911863877508,1.0,0.3520930100372731,21.45446794279247
1800,15.0,6.0,10.0,0.6,5.0,1,29,29,42.01665614281218,62.61064022805014,1.4488502118211097,1.0,0.24891185154602544,31.34562345282991
7200,15.0,5.0,20.0,0.4,5.0,5,1,1,0.3342343439066986,0.11171259664674127,0.3342343439066986,1.0,0.0,
3600,25.0,6.0,10.0,0.8,3.0,1,37,36,49.00073555928933,73.25059211138877,1.324344204305117,0.972972972972973,0.48180078775004476,16.71992140316717
3600,40.0,6.0,5.0,0.8,5.0,5,70,70,105.34948382037751,175.77229958487914,1.504992626005393,1.0,0.4995955361443016,25.203731404909238
3600,15.0,5.0,5.0,0.4,2.0,7,25,25,44.57873781899597,82.37897318180438,1.7831495127598387,1.0,0.34691608978331784,25.70001169264858
3600,15.0,3.0,20.0,0.8,3.0,8,1,1,0.9190481554669157,0.84464951206714,0.9190481554669157,1.0,0.0,
1800,40.0,6.0,10.0,0.4,3.0,8,50,49,71.59858601836227,112.33859448467005,1.4319717203672453,0.98,0.4474746393017573,22.628252531116555
7200,40.0,5.0,5.0,0.8,5.0,6,57,57,86.31958542476187,148.790902187867,1.5143786916624888,1.0,0.5680537158244131,20.12716064670157
3600,40.0,4.0,5.0,0.4,3.0,3,80,78,138.88110619997175,258.88507281679756,1.7360138274996468,0.975,0.4744824238811672,32.724878585943166
1800,25.0,6.0,5.0,0.6,3.0,5,54,54,87.44547115488533,155.7075221145435,1.619360576942321,1.0,0.515820897214632,23.069676768662408
7200,25.0,4.0,10.0,0.4,3.0,8,48,47,67.57305167361635,106.27022492650207,1.4077719098670072,0.9791666666666666,0.4869090726507805,20.03111143592713
1800,25.0,4.0,5.0,0.4,3.0,1,55,54,96.46290166828217,178.0091237099594,1.7538709394233123,0.9818181818181818,0.404274469964421,32.17382242479207
3600,25.0,6.0,10.0,0.4,3.0,4,41,41,61.82616570381923,101.67336721113739,1.5079552610687617,1.0,0.45940927739745685,21.017479089261457
7200,15.0,5.0,20.0,0.4,2.0,2,1,1,3.4946974118016163,12.212910000052915,3.4946974118016163,1.0,0.0,
1800,15.0,4.0,10.0,0.4,2.0,1,29,29,42.11339739079526,62.92434611023642,1.4521861169239743,1.0,0.2512721264472635,31.122678352107627
3600,15.0,4.0,10.0,0.6,3.0,3,23,23,37.04401619367343,60.6456820886929,1.6106093997249318,1.0,0.2112991635744627,36.55580647020668
1800,25.0,5.0,5.0,0.4,3.0,8,46,46,82.8605303510627,151.47699389772106,1.8013158771970155,1.0,0.22206130201598792,55.01687404369676
1800,25.0,6.0,5.0,0.6,2.0,1,55,54,87.12237642779944,147.88682216490108,1.5840432077781716,0.9818181818181818,0.4277679697061527,27.46250227451209
3600,15.0,3.0,10.0,0.6,2.0,1,20,20,28.69716073642077,42.44153238990697,1.4348580368210384,1.0,0.258047391945588,24.86706092398928
1800,40.0,5.0,20.0,0.4,2.0,6,2,2,3.338916673501332,6.1596146850239935,1.669458336750666,1.0,0.7651355492534597,3.0856893578571962
3600,40.0,6.0,10.0,0.4,2.0,4,66,66,99.70696880430992,160.92876193285537,1.5107116485501504,1.0,0.3980777411232808,30.83086086783102
7200,40.0,5.0,10.0,0.6,5.0,5,68,66,93.97675422467006,148.60906376551338,1.3820110915392656,0.9705882352941176,0.5287573023405963,21.553093190270868
3600,25.0,3.0,5.0,0.6,5.0,3,57,57,94.95603501696198,164.03692346966878,1.6658953511747716,1.0,0.3232122856388825,38.91323024121984
3600,25.0,3.0,10.0,0.8,5.0,6,32,32,48.44798844371257,79.75409040509079,1.5139996388660177,1.0,0.45450623323469674,18.843471584308638
3600,40.0,5.0,10.0,0.8,2.0,8,57,57,83.0444284402749,124.45877338869914,1.4569197971978052,1.0,0.24891556037734544,44.189697251698064
3600,15.0,6.0,10.0,0.4,5.0,3,23,23,37.10972812421601,60.87692904276025,1.613466440183305,1.0,0.21337420288088432,36.26452078631981
3600,40.0,5.0,20.0,0.4,5.0,1,2,2,2.6244415396027088,3.9283120759328676,1.3122207698013544,1.0,0.6960354721828114,2.6661865431383207
